text,chunk_type,doi,paper_title,polymers,properties,num_properties
"Title: A Coarse-Grained Force Field for Silica–Polybutadiene Interfaces and Nanocomposites

Abstract: We present a coarse-grained force field for modelling silica–polybutadiene interfaces and nanocomposites. The polymer, poly(cis-1,4-butadiene), is treated with a previously published united-atom model. Silica is treated as a rigid body, using one Si-centered superatom for each SiO2 unit. The parameters for the cross-interaction between silica and the polymer are derived by Boltzmann inversion of the density oscillations at model interfaces, obtained from atomistic simulations of silica surfaces containing both 𝑄4 (hydrophobic) and 𝑄3 (silanol-containing, hydrophilic) silicon atoms. The performance of the model is tested in both equilibrium and non-equilibrium molecular dynamics simulations. We expect the present model to be useful for future large-scale simulations of rubber–silica nanocomposites.

Polymers Studied: Poly(cis-1,4-butadiene)
Properties Measured: density
Force Fields Used: United-atom model

Sample Data:
  - Poly(cis-1,4-butadiene): density = 0.93

DOI: https://doi.org/10.3390/polym12071484",paper,https://doi.org/10.3390/polym12071484,A Coarse-Grained Force Field for Silica–Polybutadiene Interfaces and Nanocomposites,"Poly(cis-1,4-butadiene)",density,1
"Title: A coarse-grained model for capturing the helical behavior of isotactic polypropylene

Abstract: Understanding the process–property relations of helical polymers using molecular simulations has been an attractive research field over the years. Specifically, isotactic polypropylene still remains a challenge for current computational experimentation, as it exhibits phenomena such as crystallization that emerge on large spatial and temporal scales. Coarse-graining is an efficient technique for approaching such phenomena, although previous coarse-grained models lack in preserving important atomistic and structural details. In this paper we develop a new coarse-grained model, based on the popular MARTINI force field, that is able to reproduce the helical behavior of isotactic polypropylene. To test the model, the predicted statistical and structural properties (characteristic ratio, density, entanglement molecular weight, solubility parameter in the melt) are compared with previous simulation results and available experimental data. For the development of the new coarse-grained force field, a single unperturbed chain Monte Carlo algorithm has been implemented: an efficient algorithm which samples conformations representative of a melt by simulating just a single chain.

Polymers Studied: Isotactic Polypropylene
Properties Measured: density, radius_gyration
Force Fields Used: MARTINI, TraPPE-UA, HELIPP

Sample Data:
  - Isotactic Polypropylene: density = 1.048
  - Isotactic Polypropylene: radius_gyration = 1.48
  - Isotactic Polypropylene: radius_gyration = 9.8
  - Isotactic Polypropylene: density = 0.73
  - Isotactic Polypropylene: radius_gyration = 9.23

DOI: https://doi.org/10.1039/d2sm00200k",paper,https://doi.org/10.1039/d2sm00200k,A coarse-grained model for capturing the helical behavior of isotactic polypropylene,Isotactic Polypropylene,"density, radius_gyration",5
"Title: A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations

Abstract: Molecular dynamic (MD) simulation techniques are increasingly being adopted as efficient computational tools to design novel and exotic classes of materials for which traditional methods of synthesis and prototyping are either too costly, unsafe, and time-consuming in laboratory settings. Of such class of materials are liquid crystalline elastomers (LCEs) with favorable shape memory characteristics. These materials exhibit some distinct properties, including stimuli responsiveness to heat or UV and appropriate molecular structure for shape memory behaviors. In this work, the MD simulations were employed to compare and assess the leading force fields currently available for modeling the behavior of a typical LCE system. Three force fields, including Dreiding, PCFF, and SciPCFF, were separately assigned to model the LCE system, and their suitability was validated through experimental results. Among these selected force fields, the SciPCFF produced the best agreement with the experimentally measured thermal and viscoelastic properties compared to those of simulated steady-state density, transition temperature, and viscoelastic characteristics. Next, shape fixity (Rf) and shape recovery (Rr) of LCEs were estimated using this force field. A four-step simulated shape memory procedure proceeded under a tensile mode. The changes in molecular conformations were calculated for Rf and Rr after the unloading step and the reheating step. The results revealed that the model LCE system exhibits characteristic behaviors of Rf and Rr over the thermomechanical shape memory process, confirming the suitability of selected force field for use in the design and prediction of properties of typical LCE class of polymers.

Polymers Studied: RM257-based Liquid Crystalline Elastomer
Properties Measured: density
Force Fields Used: Dreiding, PCFF, SciPCFF

Sample Data:
  - RM257-based Liquid Crystalline Elastomer: density = 1.073
  - RM257-based Liquid Crystalline Elastomer: density = 1.158
  - RM257-based Liquid Crystalline Elastomer: density = 1.202

DOI: https://doi.org/10.1063/5.0044197",paper,https://doi.org/10.1063/5.0044197,A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations,RM257-based Liquid Crystalline Elastomer,density,3
"Title: A force field for bio-polymers in ionic liquids

Abstract: We present the extension of our force field BILFF (Bio-Polymers in Ionic Liquids Force Field) to the bio-polymer cellulose. We already published BILFF parameters for mixtures of ionic liquid 1-ethyl-3-methylimidazolium acetate ([EMIm][OAc]) with water. Our all-atom force field focuses on a quantitative reproduction of the hydrogen bonds in the complex mixture of cellulose, [EMIm]+, [OAc]− and water when compared to reference ab initio molecular dynamics (AIMD) simulations. To enhance the sampling, 50 individual AIMD simulations starting from different initial configurations were performed for cellulose in solvent instead of one long simulation, and the resulting averages were used for force field optimization. All cellulose force field parameters were iteratively adjusted starting from the literature force field of W. Damm et al. We were able to obtain a very good agreement with respect to both the microstructure of the reference AIMD simulations and experimental results such as the system density (even at higher temperatures) and the crystal structure. Our new force field allows performing very long simulations of large systems containing cellulose solvated in (aqueous) [EMIm][OAc] with almost ab initio accuracy.

Polymers Studied: Cellulose
Properties Measured: density
Force Fields Used: BILFF

Sample Data:
  - Cellulose: density = 1.09
  - Cellulose: density = 1.08

DOI: https://doi.org/10.1039/d2cp05636d",paper,https://doi.org/10.1039/d2cp05636d,A force field for bio-polymers in ionic liquids,Cellulose,density,2
"Title: All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity

Abstract: We performed all-atom molecular dynamics simulations on poly(ethylene glycol) (PEG) hydrogels to microscopically confirm the recently discovered “negative energetic elasticity” [Y. Yoshikawa et al., Phys. Rev. X 2021, 11, 011045], which refers to a negative energetic contribution to the elastic modulus. To scrutinize the force field parameters, we evaluated the densities of aqueous solutions of linear PEG chains at varying concentrations through simulations and compared them with experimental values. We simulated a PEG network consisting of 23 unit cells of a diamond lattice with 60 PEG units per strand among numerous water molecules. Subsequently, we examined the temperature (T) dependence of shear stress (σXY) for each shear strain (γ) under constant-volume conditions for a simulation duration of 360 ns. Current computational limitations lead to significant errors in σXY. Thus, we employed a statistical approach considering numerous data sets (σXY, γ, T) based on the multivariate regression of the equation σXY = Aγ(T – TE) in a narrow temperature range using fitting parameters A and TE, where a positive TE implies a negative energetic elasticity. The magnitude of the negative energetic elasticity (proportional to TE) was approximately double the overall magnitude (proportional to T – TE). We confirmed the feasibility of the obtained TE values via a statistical error analysis. The theoretical prediction of the systematic difference between the TE values under constant-pressure and constant-volume conditions was confirmed. Our method is effective for evaluating the negative energetic elasticity through TE for arbitrary PEG concentrations and strand lengths.

Polymers Studied: Poly(ethylene glycol)
Properties Measured: density
Force Fields Used: TEAM FF

Sample Data:
  - Poly(ethylene glycol): density = 1.0411
  - Poly(ethylene glycol): density = 1.0296
  - Poly(ethylene glycol): density = 1.033
  - Poly(ethylene glycol): density = 1.0261

DOI: https://doi.org/10.1021/acs.macromol.3c01121",paper,https://doi.org/10.1021/acs.macromol.3c01121,All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity,Poly(ethylene glycol),density,4
"Title: All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers

Abstract: Polyethylene vanillic (PEV), a bio-based material, has mechanical and thermal properties similar to polyethylene terephthalate (PET), the most common polymer used in industries. The present study aimed to investigate and compare their structural dynamics and physical data using a computational approach. The simple model of a single-chain polymer containing 100 repeating units was performed by all-atom molecular dynamics (MD) simulations with refined OPLS–AA force field parameters. As a result, the flexibility of the PEV structure was greater than that of PET. PET and PEV polymers had the predicted glass transition temperature Tg values of approximately 345 K and 353 K, respectively. PEV showed a slightly higher Tg than PET, consistent with current experimental evidence.

Polymers Studied: Poly(ethylene terephthalate), Poly(ethylene vanillate)
Properties Measured: density, glass_transition_temp
Force Fields Used: OPLS

Sample Data:
  - Poly(ethylene terephthalate): density = 1.26
  - Poly(ethylene terephthalate): glass_transition_temp = 345
  - Poly(ethylene vanillate): density = 1.23
  - Poly(ethylene vanillate): glass_transition_temp = 353

DOI: https://doi.org/10.3390/polym14061161",paper,https://doi.org/10.3390/polym14061161,All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers,"Poly(ethylene terephthalate), Poly(ethylene vanillate)","density, glass_transition_temp",4
"Title: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC

Abstract: Molecular mechanism of brittle and ductile impact fractures of glassy polymers has been investigated. We performed atomistic molecular dynamics (MD) calculations for two glassy polymers, brittle poly(methyl methacrylate) (PMMA) and ductile polycarbonate (PC) using the dissociative force fields. The systems were prepared as realistic as possible such that they reproduced the experimental molecular weight distribution, tacticity, radius of gyration, and entanglement density. The calculated system simulated a small portion of the macroscopic specimen near the notch. The simulations adopted a uniaxial extension condition with the lateral pressure maintained as 1 atm. Under this condition, our atomistic models reproduced the brittle fracture of PMMA via cavitation and ductile fracture of PC via shear yielding and strain hardening. The fracture pathways were determined only by the differences in the material. A conceptual bridge between microscopic simulations and macroscopic experimental observations was provided. The brittle fracture of PMMA is found to be caused by the less flexible backbones with fewer entanglements as well as the inhomogeneity of the material. This contrasts with the finding that more flexible backbones with denser entanglement network result in ductility for PC.

Polymers Studied: Poly(methyl methacrylate), Polycarbonate, Polymethyl methacrylate
Properties Measured: density, glass_transition_temp
Force Fields Used: OPLS-AA

Sample Data:
  - Poly(methyl methacrylate): density = 1.1
  - Poly(methyl methacrylate): glass_transition_temp = 459
  - Polycarbonate: density = 1.2
  - Polycarbonate: glass_transition_temp = 440
  - Polymethyl methacrylate: density = 1.1
  ... and 1 more measurements

DOI: https://doi.org/10.1016/j.polymer.2019.121570",paper,https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,"Poly(methyl methacrylate), Polycarbonate, Polymethyl methacrylate","density, glass_transition_temp",6
"Title: All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening

Abstract: Polycarbonate (PC) is a typical ductile polymer which first undergoes shear yielding followed by plastic deformation when subjected to stress. Although numerous theoretical models have been proposed to explain the yielding, its microscopic origin remains unclear. Therefore, we analyzed herein our previous all-atomistic molecular dynamic (MD) trajectories to investigate the microscopic origins of the yielding stress as well as the entire fracture process via rigorous stress decomposition, which considered the contributions of the system alignment and the bond, angle, and van der Waals (vdW) interactions. The affine deformation in the elastic region occurs due to bond stretching, angle bending, and separation of the vdW interacting atom pairs. Plastic deformation, which initiates upon yielding, reduces the growth rate of the bond, angle stresses and vdW stresses via the interchain collisions; meanwhile, the system alignment also contributes to an increased stress. Finally, the main chain bonds and angles are further stretched after strain softening, thereby causing strain hardening.

Polymers Studied: Polycarbonate
Properties Measured: density, glass_transition_temp, youngs_modulus
Force Fields Used: dissociative force field, Dissociative force field

Sample Data:
  - Polycarbonate: density = 1.2
  - Polycarbonate: glass_transition_temp = 440.15
  - Polycarbonate: youngs_modulus = 3.13
  - Polycarbonate: density = 1.2
  - Polycarbonate: youngs_modulus = 3.13

DOI: https://doi.org/10.1016/j.polymer.2020.122908",paper,https://doi.org/10.1016/j.polymer.2020.122908,"All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening",Polycarbonate,"density, glass_transition_temp, youngs_modulus",5
"Title: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA

Abstract: The compressive fracture of glassy polymers was investigated by performing all-atomistic molecular dynamics calculations for poly (methyl methacrylate) (PMMA) and polycarbonate (PC). The microscopic behaviors such as conformation changes of PMMA were different from that of PC by the analysis of one- and two radial distribution functions and bond breakages. Both brittle PMMA and ductile PC underwent ductile fracture when compressed and exhibited stress-strain curves comparable to those obtained experimentally. The compression process demonstrated a similar but not identical mechanism to extension: first, strain-induced affine deformation resulted in volume reduction in the elastic deformation; second, accumulated stress caused plastic deformation and strain softening accompanied by volume expansion; third, strain hardening occurred, but because of van der Waals repulsion instead of the entanglement networks. The volume expansion during strain softening showed no correlation with the increase in the dihedral transition rate. Structural anisotropy was observed as the strain increased, leading to the alignment of the polymer chain to the plane perpendicular to the compression direction and anisotropic density distribution.

Polymers Studied: Poly(methyl methacrylate), Polycarbonate
Properties Measured: density, glass_transition_temp, youngs_modulus
Force Fields Used: OPLS-AA, Hahn et al. force field

Sample Data:
  - Poly(methyl methacrylate): density = 1.1
  - Poly(methyl methacrylate): glass_transition_temp = 459.15
  - Poly(methyl methacrylate): youngs_modulus = 5.8
  - Polycarbonate: density = 1.2
  - Polycarbonate: glass_transition_temp = 440.15
  ... and 1 more measurements

DOI: https://doi.org/10.1016/j.polymer.2023.126276",paper,https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,"Poly(methyl methacrylate), Polycarbonate","density, glass_transition_temp, youngs_modulus",6
"Title: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition

Abstract: The present work reports a generic methodology for deriving coarse-grained force fields based on iterative Boltzmann inversion and a generic simulation strategy implementing a cooling protocol for obtaining fully relaxed structures of amorphous amylose below the glass transition temperature. A particular coarse-grained force field for amylose was constructed and was compared to Martini force field and its superiority to predict structural properties such as density, radius of gyration, end-to-end distance, glass transition temperature, and characteristic ratio for amorphous amylose over a wide range of temperatures and molecular weights. This work can be easily extended for studying other bio-based polymers like polysaccharides.

Polymers Studied: Amylose 20-mer
Properties Measured: density, glass_transition_temp, radius_gyration
Force Fields Used: CHARMM36, Martini, IBI

Sample Data:
  - Amylose 20-mer: density = 1.24
  - Amylose 20-mer: glass_transition_temp = 586
  - Amylose 20-mer: radius_gyration = 1.628
  - Amylose 20-mer: radius_gyration = 1.777
  - Amylose 20-mer: radius_gyration = 1.701
  ... and 1 more measurements

DOI: https://doi.org/10.1021/acs.macromol.1c01925",paper,https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,Amylose 20-mer,"density, glass_transition_temp, radius_gyration",6
