text,chunk_type,database_id,polymer_name,force_field,property,value,extra_info,doi,paper_title,chunk_id
"Polymer: Poly(cis-1,4-butadiene)
Property: density = 0.93
Additional Info: {""Condition"":""Atomistic equilibration of poly(cis-1,4-butadiene) 10-mer melt at ~298 K, initial density set to 0.93 g/cm³ under NPT conditions""}
Force Field: United-atom model
Source: A Coarse-Grained Force Field for Silica–Polybutadiene Interfaces and Nanocomposites
DOI: https://doi.org/10.3390/polym12071484",property,1,"Poly(cis-1,4-butadiene)",United-atom model,density,0.93,"{""Condition"":""Atomistic equilibration of poly(cis-1,4-butadiene) 10-mer melt at ~298 K, initial density set to 0.93 g/cm³ under NPT conditions""}",https://doi.org/10.3390/polym12071484,A Coarse-Grained Force Field for Silica–Polybutadiene Interfaces and Nanocomposites,b7a967b557e8
"Polymer: Isotactic Polypropylene
Property: density = 1.048
Additional Info: {}
Force Field: MARTINI
Source: A coarse-grained model for capturing the helical behavior of isotactic polypropylene
DOI: https://doi.org/10.1039/d2sm00200k",property,4,Isotactic Polypropylene,MARTINI,density,1.048,{},https://doi.org/10.1039/d2sm00200k,A coarse-grained model for capturing the helical behavior of isotactic polypropylene,8592a520ffbc
"Polymer: Isotactic Polypropylene
Property: radius_gyration = 1.48
Additional Info: {}
Force Field: MARTINI
Source: A coarse-grained model for capturing the helical behavior of isotactic polypropylene
DOI: https://doi.org/10.1039/d2sm00200k",property,5,Isotactic Polypropylene,MARTINI,radius_gyration,1.48,{},https://doi.org/10.1039/d2sm00200k,A coarse-grained model for capturing the helical behavior of isotactic polypropylene,1adbafc44d15
"Polymer: Isotactic Polypropylene
Property: radius_gyration = 9.8
Additional Info: {}
Force Field: TraPPE-UA
Source: A coarse-grained model for capturing the helical behavior of isotactic polypropylene
DOI: https://doi.org/10.1039/d2sm00200k",property,6,Isotactic Polypropylene,TraPPE-UA,radius_gyration,9.8,{},https://doi.org/10.1039/d2sm00200k,A coarse-grained model for capturing the helical behavior of isotactic polypropylene,c84204dbf71d
"Polymer: Isotactic Polypropylene
Property: density = 0.73
Additional Info: {}
Force Field: HELIPP
Source: A coarse-grained model for capturing the helical behavior of isotactic polypropylene
DOI: https://doi.org/10.1039/d2sm00200k",property,7,Isotactic Polypropylene,HELIPP,density,0.73,{},https://doi.org/10.1039/d2sm00200k,A coarse-grained model for capturing the helical behavior of isotactic polypropylene,dbd4ac0b228f
"Polymer: Isotactic Polypropylene
Property: radius_gyration = 9.23
Additional Info: {}
Force Field: HELIPP
Source: A coarse-grained model for capturing the helical behavior of isotactic polypropylene
DOI: https://doi.org/10.1039/d2sm00200k",property,8,Isotactic Polypropylene,HELIPP,radius_gyration,9.23,{},https://doi.org/10.1039/d2sm00200k,A coarse-grained model for capturing the helical behavior of isotactic polypropylene,c1d19f674ca9
"Polymer: RM257-based Liquid Crystalline Elastomer
Property: density = 1.073
Additional Info: {""condition"": ""PETMP""}
Force Field: Dreiding
Source: A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations
DOI: https://doi.org/10.1063/5.0044197",property,9,RM257-based Liquid Crystalline Elastomer,Dreiding,density,1.073,"{""condition"": ""PETMP""}",https://doi.org/10.1063/5.0044197,A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations,2cb0adef5fcf
"Polymer: RM257-based Liquid Crystalline Elastomer
Property: density = 1.158
Additional Info: {""condition"": ""PETMP""}
Force Field: PCFF
Source: A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations
DOI: https://doi.org/10.1063/5.0044197",property,11,RM257-based Liquid Crystalline Elastomer,PCFF,density,1.158,"{""condition"": ""PETMP""}",https://doi.org/10.1063/5.0044197,A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations,ee733cd260ea
"Polymer: RM257-based Liquid Crystalline Elastomer
Property: density = 1.202
Additional Info: {""condition"": ""PETMP""}
Force Field: SciPCFF
Source: A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations
DOI: https://doi.org/10.1063/5.0044197",property,13,RM257-based Liquid Crystalline Elastomer,SciPCFF,density,1.202,"{""condition"": ""PETMP""}",https://doi.org/10.1063/5.0044197,A comparative study of force fields for predicting shape memory properties of liquid crystalline elastomers using molecular dynamic simulations,6f712d49baa2
"Polymer: Cellulose
Property: density = 1.09
Additional Info: {}
Force Field: BILFF
Source: A force field for bio-polymers in ionic liquids
DOI: https://doi.org/10.1039/d2cp05636d",property,15,Cellulose,BILFF,density,1.09,{},https://doi.org/10.1039/d2cp05636d,A force field for bio-polymers in ionic liquids,0a01b059048b
"Polymer: Cellulose
Property: density = 1.08
Additional Info: {}
Force Field: BILFF
Source: A force field for bio-polymers in ionic liquids
DOI: https://doi.org/10.1039/d2cp05636d",property,16,Cellulose,BILFF,density,1.08,{},https://doi.org/10.1039/d2cp05636d,A force field for bio-polymers in ionic liquids,60ccde0a6f4b
"Polymer: Poly(ethylene glycol)
Property: density = 1.0411
Additional Info: {""condition"": ""water""}
Force Field: TEAM FF
Source: All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity
DOI: https://doi.org/10.1021/acs.macromol.3c01121",property,17,Poly(ethylene glycol),TEAM FF,density,1.0411,"{""condition"": ""water""}",https://doi.org/10.1021/acs.macromol.3c01121,All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity,c6023704b4ad
"Polymer: Poly(ethylene glycol)
Property: density = 1.0296
Additional Info: {""condition"": ""water""}
Force Field: TEAM FF
Source: All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity
DOI: https://doi.org/10.1021/acs.macromol.3c01121",property,18,Poly(ethylene glycol),TEAM FF,density,1.0296,"{""condition"": ""water""}",https://doi.org/10.1021/acs.macromol.3c01121,All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity,1e440c68e2e1
"Polymer: Poly(ethylene glycol)
Property: density = 1.033
Additional Info: {""condition"": ""water""}
Force Field: TEAM FF
Source: All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity
DOI: https://doi.org/10.1021/acs.macromol.3c01121",property,19,Poly(ethylene glycol),TEAM FF,density,1.033,"{""condition"": ""water""}",https://doi.org/10.1021/acs.macromol.3c01121,All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity,1f0e2e3f3433
"Polymer: Poly(ethylene glycol)
Property: density = 1.0261
Additional Info: {""condition"": ""water""}
Force Field: TEAM FF
Source: All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity
DOI: https://doi.org/10.1021/acs.macromol.3c01121",property,20,Poly(ethylene glycol),TEAM FF,density,1.0261,"{""condition"": ""water""}",https://doi.org/10.1021/acs.macromol.3c01121,All-Atom Molecular Dynamics Simulations of Poly(ethylene glycol) Networks in Water for Evaluating Negative Energetic Elasticity,fce992ed850f
"Polymer: Poly(ethylene terephthalate)
Property: density = 1.26
Additional Info: {}
Force Field: OPLS
Source: All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers
DOI: https://doi.org/10.3390/polym14061161",property,24,Poly(ethylene terephthalate),OPLS,density,1.26,{},https://doi.org/10.3390/polym14061161,All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers,7e71ac21a746
"Polymer: Poly(ethylene terephthalate)
Property: glass_transition_temp = 345
Additional Info: {}
Force Field: OPLS
Source: All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers
DOI: https://doi.org/10.3390/polym14061161",property,25,Poly(ethylene terephthalate),OPLS,glass_transition_temp,345,{},https://doi.org/10.3390/polym14061161,All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers,be570c9e3cfe
"Polymer: Poly(ethylene vanillate)
Property: density = 1.23
Additional Info: {}
Force Field: OPLS
Source: All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers
DOI: https://doi.org/10.3390/polym14061161",property,26,Poly(ethylene vanillate),OPLS,density,1.23,{},https://doi.org/10.3390/polym14061161,All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers,4ce83ccea456
"Polymer: Poly(ethylene vanillate)
Property: glass_transition_temp = 353
Additional Info: {}
Force Field: OPLS
Source: All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers
DOI: https://doi.org/10.3390/polym14061161",property,27,Poly(ethylene vanillate),OPLS,glass_transition_temp,353,{},https://doi.org/10.3390/polym14061161,All-Atom Molecular Dynamics Simulations on a Single Chain of PET and PEV Polymers,0fb3a067089c
"Polymer: Poly(methyl methacrylate)
Property: density = 1.1
Additional Info: {}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC
DOI: https://doi.org/10.1016/j.polymer.2019.121570",property,28,Poly(methyl methacrylate),OPLS-AA,density,1.1,{},https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,546c153ec4ca
"Polymer: Poly(methyl methacrylate)
Property: glass_transition_temp = 459
Additional Info: {""condition"" : ""OPLSAA with main-chain bond/angle replaced""} 
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC
DOI: https://doi.org/10.1016/j.polymer.2019.121570",property,29,Poly(methyl methacrylate),OPLS-AA,glass_transition_temp,459,"{""condition"" : ""OPLSAA with main-chain bond/angle replaced""} ",https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,fd3d5ba00c4d
"Polymer: Polycarbonate
Property: density = 1.2
Additional Info: {}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC
DOI: https://doi.org/10.1016/j.polymer.2019.121570",property,30,Polycarbonate,OPLS-AA,density,1.2,{},https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,b697aa8bfd2e
"Polymer: Polycarbonate
Property: glass_transition_temp = 440
Additional Info: {""condition"" : ""Morse-like backbone bond/angle potentials""}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC
DOI: https://doi.org/10.1016/j.polymer.2019.121570",property,31,Polycarbonate,OPLS-AA,glass_transition_temp,440,"{""condition"" : ""Morse-like backbone bond/angle potentials""}",https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,ca1f636a9c6b
"Polymer: Polymethyl methacrylate
Property: density = 1.1
Additional Info: {}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC
DOI: https://doi.org/10.1016/j.polymer.2019.121570",property,689,Polymethyl methacrylate,OPLS-AA,density,1.1,{},https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,165a7871d1e2
"Polymer: Polymethyl methacrylate
Property: glass_transition_temp = 459
Additional Info: {""condition"" : ""OPLSAA with main-chain bond/angle replaced""} 
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC
DOI: https://doi.org/10.1016/j.polymer.2019.121570",property,690,Polymethyl methacrylate,OPLS-AA,glass_transition_temp,459,"{""condition"" : ""OPLSAA with main-chain bond/angle replaced""} ",https://doi.org/10.1016/j.polymer.2019.121570,All-atom molecular dynamics study of impact fracture of glassy polymers. I_ Molecular mechanism of brittleness of PMMA and ductility of PC,f094113a5327
"Polymer: Polycarbonate
Property: density = 1.2
Additional Info: {}
Force Field: dissociative force field
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening
DOI: https://doi.org/10.1016/j.polymer.2020.122908",property,32,Polycarbonate,dissociative force field,density,1.2,{},https://doi.org/10.1016/j.polymer.2020.122908,"All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening",2513da9de482
"Polymer: Polycarbonate
Property: glass_transition_temp = 440.15
Additional Info: {}
Force Field: dissociative force field
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening
DOI: https://doi.org/10.1016/j.polymer.2020.122908",property,33,Polycarbonate,dissociative force field,glass_transition_temp,440.15,{},https://doi.org/10.1016/j.polymer.2020.122908,"All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening",9568dbe8b526
"Polymer: Polycarbonate
Property: youngs_modulus = 3.13
Additional Info: {}
Force Field: dissociative force field
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening
DOI: https://doi.org/10.1016/j.polymer.2020.122908",property,34,Polycarbonate,dissociative force field,youngs_modulus,3.13,{},https://doi.org/10.1016/j.polymer.2020.122908,"All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening",5b336fffeb18
"Polymer: Polycarbonate
Property: density = 1.2
Additional Info: {}
Force Field: Dissociative force field
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening
DOI: https://doi.org/10.1016/j.polymer.2020.122908",property,686,Polycarbonate,Dissociative force field,density,1.2,{},https://doi.org/10.1016/j.polymer.2020.122908,"All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening",35200ade1645
"Polymer: Polycarbonate
Property: youngs_modulus = 3.13
Additional Info: {}
Force Field: Dissociative force field
Source: All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening
DOI: https://doi.org/10.1016/j.polymer.2020.122908",property,688,Polycarbonate,Dissociative force field,youngs_modulus,3.13,{},https://doi.org/10.1016/j.polymer.2020.122908,"All-atom molecular dynamics study of impact fracture of glassy polymers. II- Microscopic origins of stresses in elasticity, yielding, and strain hardening",17feaf19fc5a
"Polymer: Poly(methyl methacrylate)
Property: density = 1.1
Additional Info: {}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA
DOI: https://doi.org/10.1016/j.polymer.2023.126276",property,35,Poly(methyl methacrylate),OPLS-AA,density,1.1,{},https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,b9d250d794ec
"Polymer: Poly(methyl methacrylate)
Property: glass_transition_temp = 459.15
Additional Info: {}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA
DOI: https://doi.org/10.1016/j.polymer.2023.126276",property,36,Poly(methyl methacrylate),OPLS-AA,glass_transition_temp,459.15,{},https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,cc40de90ebac
"Polymer: Poly(methyl methacrylate)
Property: youngs_modulus = 5.8
Additional Info: {}
Force Field: OPLS-AA
Source: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA
DOI: https://doi.org/10.1016/j.polymer.2023.126276",property,37,Poly(methyl methacrylate),OPLS-AA,youngs_modulus,5.8,{},https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,3e2cec9b1f58
"Polymer: Polycarbonate
Property: density = 1.2
Additional Info: {}
Force Field: Hahn et al. force field
Source: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA
DOI: https://doi.org/10.1016/j.polymer.2023.126276",property,38,Polycarbonate,Hahn et al. force field,density,1.2,{},https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,7b48a253dc7e
"Polymer: Polycarbonate
Property: glass_transition_temp = 440.15
Additional Info: {}
Force Field: Hahn et al. force field
Source: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA
DOI: https://doi.org/10.1016/j.polymer.2023.126276",property,39,Polycarbonate,Hahn et al. force field,glass_transition_temp,440.15,{},https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,829c6d166676
